case,Dice,FN,FP,IoU,TN,TP,n_pred,n_ref
liver_101,0.8080597703733018,40508,120031,0.677936485646077,178545882,337931,457962,378439
liver_11,0.785730113006869,3457,411,0.647080291970803,122148144,7092,7503,10549
liver_112,0.6916780354706685,167,737,0.5286757038581856,196868226,1014,1751,1181
liver_115,0.0,0,33,0.0,221773791,0,33,0
liver_12,0.7997852925389157,45,328,0.6663685152057245,119274402,745,1073,790
liver_120,0.7228128797083839,472,3178,0.5659412534189558,111140647,4759,7937,5231
liver_128,0.8031531150634663,27362,119297,0.6710575305596053,170996326,299191,418488,326553
liver_17,0.869687804995602,1587,9228,0.7694226505202115,216484040,36089,45317,37676
liver_19,0.5832920879587075,2029,21545,0.41172360442192996,143352695,16499,38044,18528
liver_24,0.8405797101449275,175,298,0.725,72350024,1247,1545,1422
liver_25,0.0,454,0,0.0,157548090,0,0,454
liver_27,0.815007681733646,11357,68716,0.6877746540382673,225449525,176386,245102,187743
liver_3,0.8229007633587786,98,1062,0.6990920881971465,139981041,2695,3757,2793
liver_38,,0,0,,34603008,0,0,0
liver_40,0.818834028161468,24667,18615,0.6932421418193416,31840473,97813,116428,122480
liver_41,0.0,0,27281,0.0,29594991,0,27281,0
liver_42,0.022562484005800562,580,91088,0.011409960528870004,32675274,1058,92146,1638
liver_44,0.5088539026862646,121736,2300,0.34125019916086885,31006846,64254,66554,185990
liver_5,0.7434377646062659,101,202,0.5916442048517521,140770586,439,641,540
liver_51,0.8609380137317474,13608,22343,0.7558306958801396,59359450,111287,133630,124895
liver_52,0.8221729755630091,4569,1369,0.6980422069666921,62108463,13727,15096,18296
liver_58,0.6008268259072118,789,80,0.4294156270518713,55573005,654,734,1443
liver_64,0.9621180481087244,8623,4801,0.9270014247338141,60109226,170470,175271,179093
liver_70,0.8723310536687146,26595,940,0.7735701657004235,87172347,94070,95010,120665
liver_75,0.7430122983548954,377,1232,0.5911054637865312,23326881,2326,3558,2703
liver_77,0.2985185185185185,3428,360,0.17544623421854594,24636942,806,1166,4234
liver_82,0.9179726075198464,10076,13431,0.8483820408795093,135897695,131534,144965,141610
