case,Dice,FN,FP,IoU,TN,TP,n_pred,n_ref
liver_101,0.8994216491741508,36384,40117,0.8172263687535241,178625796,342055,382172,378439
liver_11,0.7999564649542882,3199,477,0.6666062035189552,122148078,7350,7827,10549
liver_112,0.7080874696286011,161,680,0.5480924234282644,196868283,1020,1700,1181
liver_115,0.0,0,73,0.0,221773751,0,73,0
liver_12,0.7218576476527007,75,476,0.5647709320695102,119274254,715,1191,790
liver_120,0.7233815689261234,482,3150,0.5666388259157619,111140675,4749,7899,5231
liver_128,0.8129486503534707,28198,109099,0.6848470797792734,171006524,298355,407454,326553
liver_17,0.8771005184649515,1896,8131,0.7811033248193507,216485137,35780,43911,37676
liver_19,0.625250047178713,1962,17896,0.45481001537447835,143356344,16566,34462,18528
liver_24,0.7894949494949495,445,76,0.6522029372496663,72350246,977,1053,1422
liver_25,0.0,454,0,0.0,157548090,0,0,454
liver_27,0.8154782499657489,12153,67310,0.6884451466950007,225450931,175590,242900,187743
liver_3,0.825556572125648,86,1058,0.7029343027784991,139981045,2707,3765,2793
liver_38,,0,0,,34603008,0,0,0
liver_40,0.8189795564795564,27937,13857,0.6934507873871363,31845231,94543,108400,122480
liver_41,0.0,0,25155,0.0,29597117,0,25155,0
liver_42,0.06305935928655007,641,28986,0.03255616509926855,32737376,997,29983,1638
liver_44,0.4523643159256947,131284,1171,0.29229380052468196,31007975,54706,55877,185990
liver_5,0.7826982492276005,160,51,0.6429780033840947,140770737,380,431,540
liver_51,0.859861154696936,12555,24063,0.7541723170289611,59357730,112340,136403,124895
liver_52,0.8230790432732061,4858,919,0.6993494665625813,62108913,13438,14357,18296
liver_58,0.5653642064640617,857,44,0.3940820443846671,55573041,586,630,1443
liver_64,0.9600106895924309,10254,3812,0.9230966895382849,60110215,168839,172651,179093
liver_70,0.8646796175514879,28194,749,0.7616172764261123,87172538,92471,93220,120665
liver_75,0.811672037235947,436,616,0.6830370593552275,23327497,2267,2883,2703
liver_77,0.5887673231218089,2216,603,0.41720074426297293,24636699,2018,2621,4234
liver_82,0.9170235209467059,10339,13417,0.8467621769111187,135897709,131271,144688,141610
