case,Dice,FN,FP,IoU,TN,TP,n_pred,n_ref
liver_101,0.891515651934582,39947,42432,0.8042654400041818,178623481,338492,380924,378439
liver_11,0.7819113388282468,3529,387,0.6419166057059253,122148168,7020,7407,10549
liver_112,0.7050724637681159,208,606,0.544487968662563,196868357,973,1579,1181
liver_115,0.0,0,101,0.0,221773723,0,101,0
liver_12,0.8477127967573828,58,205,0.735678391959799,119274525,732,937,790
liver_120,0.7356956588433808,435,3011,0.5818975976704683,111140814,4796,7807,5231
liver_128,0.8225672009174568,32477,94391,0.6986107415713254,171021232,294076,388467,326553
liver_17,0.8829711988285952,2098,7333,0.7904641293963429,216485935,35578,42911,37676
liver_19,0.6686553746194552,2165,14052,0.5022406384284838,143360188,16363,30415,18528
liver_24,0.38810289389067526,215,3591,0.2407739876321564,72346731,1207,4798,1422
liver_25,0.0,454,0,0.0,157548090,0,0,454
liver_27,0.8209137007724753,14522,61056,0.696228682591168,225457185,173221,234277,187743
liver_3,0.8309268747088961,117,972,0.7107569721115538,139981131,2676,3648,2793
liver_38,,0,0,,34603008,0,0,0
liver_40,0.8172481142241379,25404,18012,0.6909717279275688,31841076,97076,115088,122480
liver_41,0.0,0,27721,0.0,29594551,0,27721,0
liver_42,0.04731394775751602,630,39963,0.024230186774356385,32726399,1008,40971,1638
liver_44,0.6011697037792146,105197,2003,0.4297660019256036,31007143,80793,82796,185990
liver_5,0.7789678675754625,140,87,0.6379585326953748,140770701,400,487,540
liver_51,0.859466548708278,14145,22073,0.7535654019922704,59359720,110750,132823,124895
liver_52,0.8311438448820081,4472,1145,0.7110745332030245,62108687,13824,14969,18296
liver_58,0.6332882273342354,741,72,0.4633663366336634,55573013,702,774,1443
liver_64,0.9617971178298954,8903,4617,0.9264057481900821,60109410,170190,174807,179093
liver_70,0.8640877981690003,28310,743,0.7606994596731682,87172544,92355,93098,120665
liver_75,0.8216888888888889,392,611,0.6973445986722994,23327502,2311,2922,2703
liver_77,0.24115692788743404,3617,266,0.1371111111111111,24637036,617,883,4234
liver_82,0.920153113568664,11562,11008,0.8521144294906237,135900118,130048,141056,141610
